Epoch,Train Loss,Test Loss
0,62162.4892578125,0.22601787745952606
1,51989.7685546875,N/A
2,40460.4111328125,N/A
3,23666.0107421875,N/A
4,20138.95849609375,N/A
5,14274.774169921875,N/A
6,14457.3642578125,N/A
7,14646.146484375,N/A
8,13370.777099609375,N/A
9,12539.02197265625,N/A
10,12350.77001953125,N/A
11,11454.74267578125,N/A
12,11221.12939453125,N/A
13,11088.653564453125,N/A
14,10837.619140625,N/A
15,10591.641845703125,N/A
16,10079.3740234375,N/A
17,9812.927734375,N/A
18,9548.3759765625,N/A
19,9307.186279296875,N/A
20,8990.630126953125,0.038059018552303314
21,8705.941162109375,N/A
22,8471.506591796875,N/A
23,8241.904052734375,N/A
24,8140.751220703125,N/A
25,8085.4130859375,N/A
26,8040.183837890625,N/A
27,8161.63671875,N/A
28,8736.4912109375,N/A
29,7915.4482421875,N/A
30,7697.76123046875,N/A
31,7955.0020751953125,N/A
32,7715.8349609375,N/A
33,7759.673828125,N/A
34,7613.32275390625,N/A
35,7587.2152099609375,N/A
36,7528.1837158203125,N/A
37,7496.93408203125,N/A
38,7474.427734375,N/A
39,7467.826171875,N/A
40,7433.216796875,0.033196065574884415
41,7427.65673828125,N/A
42,7421.76025390625,N/A
43,7359.714599609375,N/A
44,7366.720703125,N/A
45,7354.066162109375,N/A
46,7352.847412109375,N/A
47,7328.6419677734375,N/A
48,7304.0745849609375,N/A
49,7321.44189453125,N/A
50,7303.5726318359375,N/A
51,7277.74658203125,N/A
52,7292.237548828125,N/A
53,7278.29443359375,N/A
54,7259.8232421875,N/A
55,7240.07568359375,N/A
56,7234.815185546875,N/A
57,7226.421142578125,N/A
58,7242.18310546875,N/A
59,7197.890380859375,N/A
60,7213.299072265625,0.03257623314857483
61,7243.24365234375,N/A
62,7309.83544921875,N/A
63,7411.41845703125,N/A
64,7508.333740234375,N/A
65,7680.541259765625,N/A
66,7403.2222900390625,N/A
67,7232.558349609375,N/A
68,7149.791015625,N/A
69,7192.4097900390625,N/A
70,7210.4805908203125,N/A
71,7114.7117919921875,N/A
72,7051.90234375,N/A
73,7053.8173828125,N/A
74,7052.28662109375,N/A
75,6988.621826171875,N/A
76,6955.015625,N/A
77,6890.175537109375,N/A
78,6858.1337890625,N/A
79,6804.446044921875,N/A
80,6754.3948974609375,0.030529797077178955
81,6652.771484375,N/A
82,6536.57763671875,N/A
83,6373.978759765625,N/A
84,6221.501708984375,N/A
85,5972.1983642578125,N/A
86,5789.60302734375,N/A
87,5660.65283203125,N/A
88,5626.5540771484375,N/A
89,5471.610595703125,N/A
90,5296.181396484375,N/A
91,5237.02880859375,N/A
92,5512.6048583984375,N/A
93,6308.4296875,N/A
94,8068.6864013671875,N/A
95,6684.3287353515625,N/A
96,6395.41552734375,N/A
97,5525.104248046875,N/A
98,6087.907470703125,N/A
99,5703.88818359375,N/A
100,5193.248291015625,0.024883359670639038
101,5209.67236328125,N/A
102,5088.363037109375,N/A
103,4712.262939453125,N/A
104,4559.73828125,N/A
105,4607.6307373046875,N/A
106,4661.00830078125,N/A
107,5146.651611328125,N/A
108,5938.294738769531,N/A
109,4417.0067138671875,N/A
110,4646.8155517578125,N/A
111,4111.20849609375,N/A
112,4434.941162109375,N/A
113,4097.5078125,N/A
114,4003.8167724609375,N/A
115,4048.667724609375,N/A
116,3824.9542236328125,N/A
117,3755.917236328125,N/A
118,3701.767333984375,N/A
119,3519.356689453125,N/A
120,3460.908447265625,0.01704142615199089
121,3325.9730834960938,N/A
122,3228.2113037109375,N/A
123,3147.2191162109375,N/A
124,3023.535888671875,N/A
125,2945.4329223632812,N/A
126,2836.2830810546875,N/A
127,2744.9580078125,N/A
128,2638.2972412109375,N/A
129,2571.0421142578125,N/A
130,2505.81201171875,N/A
131,2483.2880249023438,N/A
132,2567.30126953125,N/A
133,2904.7021484375,N/A
134,4002.0659790039062,N/A
135,6061.4781494140625,N/A
136,4052.0096435546875,N/A
137,3643.771484375,N/A
138,2859.1956787109375,N/A
139,3507.592041015625,N/A
140,3231.0279541015625,0.014302322641015053
141,2786.0372314453125,N/A
142,2875.781494140625,N/A
143,3018.2384033203125,N/A
144,2909.05615234375,N/A
145,2721.9968872070312,N/A
146,2650.6669921875,N/A
147,2662.342041015625,N/A
148,2624.5581665039062,N/A
149,2509.5093994140625,N/A
150,2412.9471435546875,N/A
151,2372.5730590820312,N/A
152,2324.1309204101562,N/A
153,2245.8106079101562,N/A
154,2157.571533203125,N/A
155,2112.90380859375,N/A
156,2066.261962890625,N/A
157,1998.5816040039062,N/A
158,1943.9369506835938,N/A
159,1911.73193359375,N/A
160,1870.85693359375,0.009178166277706623
161,1834.7654418945312,N/A
162,1808.494384765625,N/A
163,1783.715576171875,N/A
164,1755.1063232421875,N/A
165,1734.9258117675781,N/A
166,1711.5170288085938,N/A
167,1686.6917419433594,N/A
168,1667.3262939453125,N/A
169,1644.8460083007812,N/A
170,1620.0249633789062,N/A
171,1600.7450561523438,N/A
172,1575.94921875,N/A
173,1551.6311645507812,N/A
174,1530.87158203125,N/A
175,1510.5567016601562,N/A
176,1494.5230712890625,N/A
177,1480.5269775390625,N/A
178,1472.5024719238281,N/A
179,1480.4432373046875,N/A
180,1530.5982360839844,0.007737631909549236
181,1655.05908203125,N/A
182,1833.6834716796875,N/A
183,1859.927734375,N/A
184,1561.384765625,N/A
185,1420.0540466308594,N/A
186,1546.9725952148438,N/A
187,1430.5323181152344,N/A
188,1435.862060546875,N/A
189,1424.6154174804688,N/A
190,1378.1571655273438,N/A
191,1389.6637573242188,N/A
192,1352.6900024414062,N/A
193,1349.515869140625,N/A
194,1333.8113403320312,N/A
195,1322.360595703125,N/A
196,1316.1744384765625,N/A
197,1304.9866333007812,N/A
198,1306.2579345703125,N/A
199,1298.2477722167969,N/A
200,1291.4051513671875,0.005686166696250439
201,1294.0848999023438,N/A
202,1284.5212707519531,N/A
203,1280.3514709472656,N/A
204,1280.9242553710938,N/A
205,1274.0526733398438,N/A
206,1267.7392272949219,N/A
207,1266.749267578125,N/A
208,1263.6117248535156,N/A
209,1261.8906555175781,N/A
210,1258.5650024414062,N/A
211,1255.6059265136719,N/A
212,1253.4179382324219,N/A
