training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.723,0.716,0.728,0.54710964,0.43214391,0.626646537,0.66781746,0.542838186,0.762106158,0.44456445,0.381778758,0.525570606
500,0.707,0.705,0.711,0.4453218,0.35852949,0.565331481,0.49727601,0.436642569,0.640808982,0.381992193,0.3240125064,0.4577635458
1000,0.682,0.675,0.692,0.3775213,0.31035124,0.40992211,0.3857833,0.336906685,0.46226188,0.2756233,0.23815513,0.33929578
2000,0.681,0.678,0.685,0.36292,0.296875,0.392602,0.38774,0.342316,0.417286,0.28438,0.248221,0.338746
5000,0.656,0.654,0.657,0.282833,0.2218897,0.3094992,0.292744,0.27954928,0.32855824,0.2565595,0.222058,0.2899577
10000,0.66,0.658,0.663,0.24289915,0.23300685,0.28633925,0.22440485,0.2173082,0.25322155,0.2160179,0.21580285,0.19171725
15000,0.653,0.653,0.653,0.2207728,0.2085328,0.2712016,0.2264032,0.2090224,0.257248,0.225424,0.206656,0.2506384
