training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.28525,0.27875,0.29215,0.23954112,0.143559,0.3202056,0.217018285714285,0.17923815,0.25090065,0.144399489795918,0.10479105,0.1658514
500,0.26366,0.261,0.2647,0.1770964,0.1257165,0.2237235,0.154362,0.1308762,0.1777919,0.098074166666667,0.078463125,0.1101815
1000,0.25683,0.25575,0.259,0.123351428571429,0.100751625,0.143375375,0.1302,0.1119456,0.148148,0.0907725,0.079326,0.099528
2000,0.2553,0.25445,0.25615,0.118795625,0.1030185,0.133937375,0.1171,0.1037673,0.1214456,0.086125,0.074529,0.103246
5000,0.25555,0.253325,0.257775,0.071121289473684,0.0596451375,0.0857839125,0.0821,0.07534332,0.08924,0.0625872,0.05479695,0.069708925
10000,0.251633333333333,0.25155,0.2517,0.069004,0.061702105263158,0.075858095238095,0.0786,0.0772,0.082,0.05629,0.053327368421053,0.058970476190476
15000,0.2511,0.2511,0.2511,0.0581140625,0.0556725,0.06140875,0.0588575,0.05672875,0.05971875,0.056473829787234,0.0567375,0.05954
