training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.723,0.716,0.728,0.5846684704,0.4699611904,0.7163172064,0.6612814992,0.4982216352,0.7281762256,0.4780320768,0.42433220224,0.57378308992
500,0.707,0.705,0.711,0.49967815,0.398858975,0.58180655,0.502936175,0.4576749,0.560029225,0.4156382525,0.364701155,0.47110229
1000,0.682,0.675,0.692,0.438678296896,0.370492255072,0.50409723424,0.4792549664,0.4119837632,0.5459614544,0.3589706288,0.3244529072,0.4081709456
2000,0.681,0.678,0.685,0.3115,0.2770933792,0.364250784,0.3817205888,0.3591573376,0.4313567616,0.297847616,0.2804158336,0.3200569728
5000,0.656,0.654,0.657,0.2764,0.2454,0.3108,0.3052,0.288,0.3586,0.2638,0.2436,0.278
10000,0.66,0.658,0.663,0.2506,0.2328,0.2942,0.25,0.2364,0.2894,0.2404,0.2412,0.2528
15000,0.653,0.653,0.653,0.2412,0.2346,0.2472,0.252,0.24,0.2646,0.2424,0.237,0.2622
