training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.28525,0.27875000000000005,0.29215,0.34488125000000003,0.238125,0.438325,0.36139,0.28625,0.3618,0.26706153846153846,0.1967,0.2687
500,0.26366,0.261,0.2647,0.2949866666666666,0.23454999999999998,0.36095,0.32516,0.2804,0.3774,0.21607142857142855,0.19665,0.2337
1000,0.25683333333333336,0.25575000000000003,0.259,0.19512142857142858,0.142725,0.211,0.27873333333333333,0.2229,0.30665,0.14968125,0.140625,0.1605
2000,0.25529999999999997,0.25445,0.25615,0.16948000000000002,0.143575,0.18995,0.20329999999999998,0.1519,0.2559,0.10229999999999999,0.0762,0.0946
5000,0.25555,0.253325,0.257775,0.103715,0.0993,0.10667499999999999,0.166525,0.1246,0.184125,0.09565,0.075375,0.09962499999999999
10000,0.2516333333333334,0.25155,0.25170000000000003,0.08628571428571427,0.0816,0.091475,0.12766666666666668,0.12340000000000001,0.13945000000000002,0.0799,0.0717,0.0858
12000,0.2511,0.2511,0.2511,0.0805875,0.07289999999999999,0.088175,0.096475,0.08225,0.106625,0.06603333333333335,0.06520000000000001,0.06747500000000001
