scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first
0,4.01,128,64,1000,0.1122,0.354,0.0714,0.000714
0,4.01,128,64,1000,0.1054,0.3537,0.0542,0.000542
0,4.01,128,64,3000,0.1048,0.3743,0.0454,0.000454
0,4.01,128,64,3000,0.0994,0.3541,0.0254,0.000254
0,4.01,128,64,3000,0.0952,0.3404,0.0151,0.000151
0,4.01,128,64,3000,0.1003,0.3448,0.0181,0.000181
0,4.01,128,64,3000,0.0853,0.2618,0.0201,0.000201
0,4.01,128,64,3000,0.0975,0.3211,0.0253,0.000253
0,4.01,128,64,3000,0.1013,0.3603,0.0211,0.000211
0,4.01,128,64,3000,0.0974,0.3294,0.0148,0.000148
0,4.01,128,64,3000,0.0969,0.3034,0.0174,0.000174
0,4.01,128,64,3000,0.1003,0.3402,0.0264,0.000264
0,4.01,128,64,3000,0.0958,0.3133,0.0175,0.000175
0,4.01,128,64,3000,0.0993,0.3366,0.0165,0.000165
0,4.01,128,64,3000,0.0996,0.345,0.0151,0.000151
0,4.01,128,64,3000,0.1052,0.3723,0.0208,0.000208
0,4.01,128,64,3000,0.1015,0.366,0.0338,0.000338
0,4.01,128,64,3000,0.1039,0.369,0.028,0.00028
0,4.01,128,64,3000,0.0938,0.3266,0.0168,0.000168
0,4.01,128,64,3000,0.0967,0.3183,0.0244,0.000244
0,4.01,128,64,3000,0.0916,0.2917,0.016,0.00016
0,4.01,128,64,3000,0.1002,0.3372,0.0182,0.000182
0,4.01,128,64,5000,0.0786,0.2089,0.0102,0.000102
0,4.01,128,64,5000,0.0844,0.2468,0.0149,0.000149
0,4.01,128,64,5000,0.0755,0.1987,0.0099,9.9E-05
0,4.01,128,64,5000,0.0776,0.216,0.0134,0.000134
0,4.01,128,64,5000,0.0808,0.221,0.0162,0.000162
0,4.01,128,64,5000,0.0805,0.2153,0.0134,0.000134
0,4.01,128,64,5000,0.0781,0.2269,0.0126,0.000126
0,4.01,128,64,5000,0.0858,0.2458,0.0249,0.000249
0,4.01,128,64,5000,0.0804,0.2383,0.0181,0.000181
0,4.01,128,64,5000,0.0838,0.2386,0.0135,0.000135
0,4.01,128,64,5000,0.0982,0.3284,0.0223,0.000223
0,4.01,128,64,5000,0.0798,0.2277,0.0148,0.000148
0,4.01,128,64,5000,0.0807,0.2409,0.0101,0.000101
0,4.01,128,64,5000,0.0799,0.2298,0.0126,0.000126
0,4.01,128,64,5000,0.0792,0.1994,0.0159,0.000159
0,4.01,128,64,5000,0.0809,0.2222,0.019,0.00019
0,4.01,128,64,5000,0.1024,0.3606,0.0238,0.000238
0,4.01,128,64,5000,0.0802,0.2384,0.0153,0.000153
0,4.01,128,64,5000,0.0817,0.2264,0.017,0.00017
0,4.01,128,64,5000,0.081,0.2244,0.0109,0.000109
0,4.01,128,64,10000,0.0808,0.2365,0.0142,0.000142
0,4.01,128,64,10000,0.0793,0.2356,0.0137,0.000137
0,4.01,128,64,10000,0.0854,0.2581,0.0137,0.000137
0,4.01,128,64,10000,0.0801,0.2226,0.016,0.00016
0,4.01,128,64,10000,0.0813,0.2484,0.0167,0.000167
0,4.01,128,64,10000,0.0749,0.2108,0.0122,0.000122
0,4.01,128,64,10000,0.0736,0.1929,0.0157,0.000157
0,4.01,128,64,10000,0.0788,0.2159,0.0123,0.000123
0,4.01,128,64,10000,0.0783,0.2047,0.0165,0.000165
0,4.01,128,64,10000,0.0803,0.2201,0.022,0.00022
0,4.01,128,64,10000,0.0779,0.2272,0.0173,0.000173
0,4.01,128,64,10000,0.0808,0.2212,0.0139,0.000139
0,4.01,128,64,10000,0.0819,0.2339,0.0214,0.000214
0,4.01,128,64,10000,0.0774,0.2008,0.0123,0.000123
0,4.01,128,64,10000,0.0807,0.2268,0.0189,0.000189
0,4.01,128,64,10000,0.0788,0.2184,0.0183,0.000183
0,4.01,128,64,10000,0.0792,0.2157,0.0133,0.000133
0,4.01,128,64,10000,0.0856,0.2492,0.0183,0.000183
0,4.01,128,64,10000,0.0786,0.2077,0.016,0.00016
0,4.01,128,64,10000,0.0788,0.2234,0.0178,0.000178
0,4.01,128,64,300,0.1238,0.4875,0.1585,0.001585
0,4.01,128,64,300,0.3659,0.4549,0.1018,0.001018
0,4.01,128,64,300,0.1548,0.5372,0.1218,0.001218
0,4.01,128,64,300,0.1437,0.4986,0.1343,0.001343
0,4.01,128,64,5000,0.0763,0.2013,0.019,0.00019
0,4.01,128,64,5000,0.0709,0.1054,0.0178,0.000178
0,4.4445,128,64,100,0.232,1.0023,0.2682,0.002682
0,4.4445,128,64,100,0.5343,1.0063,0.2429,0.002429
0,4.4445,128,64,100,0.3386,1.0034,0.1963,0.001963
0,4.4445,128,64,100,0.2197,1.0022,0.1824,0.001824
0,4.4445,128,64,100,0.2282,1.0022,0.1643,0.001643
0,4.4445,128,64,100,0.7537,1.0075,0.4111,0.004111
0,4.4445,128,64,100,0.377,0.7041,0.6203,0.006203
0,4.4445,128,64,100,0.1348,0.7014,0.1018,0.001018
0,4.4445,128,64,100,0.3576,0.7036,0.3621,0.003621
0,4.4445,128,64,100,0.4398,0.7042,0.2883,0.002883
0,4.4445,128,64,100,0.4775,1.2428,0.1191,0.001191
0,4.4445,128,64,100,0.2155,1.1481,0.1173,0.001173
0,4.4445,128,64,100,0.2208,1.2776,0.2877,0.002877
0,4.4445,128,64,100,0.5038,2.011,0.4014,0.004014
0,4.4445,128,64,100,0.6874,1.9007,0.3308,0.003308
0,4.4445,128,64,100,1.0314,1.3629,0.3671,0.003671
0,4.4445,128,64,100,0.2245,1.3506,0.1936,0.001936
0,4.4445,128,64,100,0.4433,0.733,0.1434,0.001434
0,4.4445,128,64,100,1.0219,2.0296,0.6618,0.006618
0,4.4445,128,64,100,0.7178,1.244,0.2313,0.002313
0,4.4445,128,64,300,0.2334,1.1967,0.2134,0.002134
0,4.4445,128,64,300,0.2157,0.7305,0.2227,0.002227
0,4.4445,128,64,300,0.2431,1.0576,0.305,0.00305
0,4.4445,128,64,300,0.1978,0.7164,0.1917,0.001917
0,4.4445,128,64,300,0.2313,0.9946,0.284,0.00284
0,4.4445,128,64,300,0.1879,0.635,0.1656,0.001656
0,4.4445,128,64,300,0.2781,0.9846,0.2738,0.002738
0,4.4445,128,64,300,0.2367,0.9095,0.2566,0.002566
0,4.4445,128,64,300,0.2481,0.8893,0.3265,0.003265
0,4.4445,128,64,300,0.2481,0.9324,0.3022,0.003022
0,4.4445,128,64,300,0.205,0.6474,0.1821,0.001821
0,4.4445,128,64,300,0.2683,0.9614,0.2806,0.002806
0,4.4445,128,64,300,0.2505,0.8963,0.2675,0.002675
0,4.4445,128,64,300,0.2263,0.7979,0.2697,0.002697
0,4.4445,128,64,300,0.2057,0.789,0.1878,0.001878
0,4.4445,128,64,300,0.2033,0.8351,0.2378,0.002378
0,4.4445,128,64,300,0.2562,1.0493,0.3024,0.003024
0,4.4445,128,64,300,0.1653,0.5613,0.1767,0.001767
0,4.4445,128,64,300,0.1881,0.6439,0.1826,0.001826
0,4.4445,128,64,500,0.1638,0.8016,0.2542,0.002542
0,4.4445,128,64,500,0.2059,0.8026,0.2749,0.002749
0,4.4445,128,64,500,0.1991,0.902,0.1916,0.001916
0,4.4445,128,64,500,0.2044,0.8021,0.2191,0.002191
0,4.4445,128,64,500,0.2546,0.8025,0.2129,0.002129
0,4.4445,128,64,500,0.2951,0.8482,0.198,0.00198
0,4.4445,128,64,500,0.2038,0.8711,0.1798,0.001798
0,4.4445,128,64,500,0.2176,0.8786,0.1777,0.001777
0,4.4445,128,64,500,0.2519,0.859,0.1748,0.001748
0,4.4445,128,64,500,0.2107,0.8863,0.2014,0.002014
0,4.4445,128,64,1000,0.1983,0.402,0.156,0.00156
0,4.4445,128,64,1000,0.1712,0.4017,0.1369,0.001369
0,4.4445,128,64,1000,0.2043,0.402,0.2179,0.002179
0,4.4445,128,64,1000,0.1691,0.6684,0.1499,0.001499
0,4.4445,128,64,1000,0.159,0.4953,0.1313,0.001313
0,4.4445,128,64,1000,0.2001,0.8216,0.1099,0.001099
0,4.4445,128,64,1000,0.1728,0.6404,0.1776,0.001776
0,4.4445,128,64,1000,0.1689,0.6758,0.1231,0.001231
0,4.4445,128,64,1000,0.1444,0.4744,0.0587,0.000587
0,4.4445,128,64,1000,0.1834,0.6521,0.1529,0.001529
0,4.4445,128,64,1000,0.1835,0.6027,0.1892,0.001892
0,4.4445,128,64,1000,0.1739,0.6293,0.1415,0.001415
0,4.4445,128,64,1000,0.1526,0.5843,0.0849,0.000849
0,4.4445,128,64,2000,0.1285,0.4133,0.0317,0.000317
0,4.4445,128,64,2000,0.1378,0.4586,0.0427,0.000427
0,4.4445,128,64,2000,0.1355,0.4261,0.0322,0.000322
0,4.4445,128,64,2000,0.141,0.4683,0.034,0.00034
0,4.4445,128,64,2000,0.1309,0.44,0.0298,0.000298
0,4.4445,128,64,2000,0.1306,0.4135,0.0252,0.000252
0,4.4445,128,64,2000,0.1484,0.5046,0.0434,0.000434
0,4.4445,128,64,2000,0.1263,0.424,0.0347,0.000347
0,4.4445,128,64,5000,0.1208,0.2914,0.0345,0.000345
0,4.4445,128,64,5000,0.1268,0.2914,0.0313,0.000313
0,4.4445,128,64,5000,0.102,0.2013,0.0198,0.000198
0,4.4445,128,64,5000,0.123,0.2012,0.0261,0.000261
0,4.4445,128,64,5000,0.1254,0.1013,0.0374,0.000374
0,4.4445,128,64,5000,0.1209,0.2912,0.0236,0.000236
0,4.4445,128,64,5000,0.1042,0.2214,0.0281,0.000281
0,4.4445,128,64,5000,0.1022,0.2213,0.0163,0.000163
0,4.4445,128,64,5000,0.1214,0.2316,0.0353,0.000353
0,4.4445,128,64,5000,0.1398,0.2314,0.0273,0.000273
0,4.4445,128,64,5000,0.1219,0.2314,0.0319,0.000319
0,4.4445,128,64,5000,0.1373,0.2414,0.0321,0.000321
0,4.4445,128,64,5000,0.1081,0.2414,0.0304,0.000304
0,4.4445,128,64,5000,0.111,0.2513,0.0286,0.000286
0,4.4445,128,64,5000,0.1251,0.2512,0.0292,0.000292
0,4.4445,128,64,5000,0.1142,0.1513,0.0286,0.000286
0,4.4445,128,64,5000,0.1213,0.1514,0.0275,0.000275
0,4.4445,128,64,5000,0.127,0.1515,0.0282,0.000282
0,4.4445,128,64,10000,0.0942,0.2111,0.0246,0.000246
0,4.4445,128,64,10000,0.1013,0.221,0.0275,0.000275
0,4.4445,128,64,10000,0.1094,0.2011,0.0191,0.000191
0,4.4445,128,64,10000,0.0997,0.2012,0.021,0.00021
0,4.4445,128,64,10000,0.1099,0.2011,0.019,0.00019
0,4.4445,128,64,12000,0.0824,0.201,0.0184,0.000184
0,4.4445,128,64,12000,0.0983,0.191,0.0199,0.000199
0,4.4445,128,64,12000,0.095,0.151,0.0156,0.000156
0,4.4445,128,64,12000,0.0961,0.151,0.015,0.00015
0,4.4445,128,64,12000,0.099,0.161,0.0162,0.000162
0,4.4445,128,64,12000,0.0805,0.2167,0.0187,0.000187
0,4.4445,128,64,12000,0.0938,0.196,0.019,0.00019
0,4.4445,128,64,12000,0.0966,0.1927,0.0164,0.000164
0,4.4445,128,64,12000,0.0961,0.197,0.0151,0.000151
