scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first,note
0,4.8,128,64,12000,0.0881,0.2416,0.0448,0.0004,
0,4.8,128,64,12000,0.0922,0.2719,0.0413,0.0004,
0,4.8,128,64,12000,0.0904,0.2416,0.0478,0.0004,
0,4.8,128,64,12000,0.0934,0.2903,0.0655,0.0006,
0,4.8,128,64,12000,0.0917,0.263,0.0496,0.0005,
0,4.8,128,64,12000,0.0955,0.3026,0.0439,0.0005,
0,4.4,128,64,12000,0.0883,0.2487,0.0396,0.0004,
0,4.4,128,64,12000,0.0854,0.2242,0.0436,0.0004,
0,4.4,128,64,12000,0.0857,0.2302,0.0454,0.0004,
0,4.4,96,64,12000,0.0925,0.2579,0.0564,0.0006,
0,4.4,96,64,12000,0.0818,0.1995,0.0343,0.0004,
0,4.4,96,64,12000,0.0887,0.2319,0.047,0.0005,
0,4.4,96,64,12000,0.0932,0.2741,0.0447,0.0005,
0,4.4,96,64,12000,0.084,0.2145,0.0397,0.0004,
0,4.4,96,64,12000,0.0915,0.2293,0.0504,0.0005,
0,4.4,96,64,300,0.1557,0.5782,0.2347,0.002,
0,4.4,96,64,300,0.1278,0.5072,0.11,0.0011,
0,4.4,96,64,300,0.4563,0.5152,0.0843,0.0009,
0,4.4,96,64,300,0.1407,0.5364,0.1443,0.0015,
0,4.4,96,64,300,0.1469,0.5634,0.1654,0.0016,
0,4.4,96,64,500,0.1718,0.6667,0.1221,0.0013,
0,4.4,96,64,500,0.1324,0.5109,0.107,0.0011,
0,4.4,96,64,500,0.1491,0.6142,0.1485,0.0016,
0,4.4,96,64,500,0.135,0.4413,0.119,0.0012,
0,4.4,96,64,1000,0.142,0.4739,0.1407,0.0014,
0,4.4,96,64,1000,0.1347,0.5039,0.1176,0.0012,
0,4.4,96,64,1000,0.1328,0.4857,0.1277,0.0013,
0,4.4,96,64,1000,0.1374,0.5055,0.1434,0.0014,
0,4.4,96,64,1000,0.1385,0.5146,0.1254,0.0012,
0,4.4,96,64,2000,0.1444,0.4954,0.131,0.0014,
0,4.4,96,64,2000,0.1139,0.3343,0.0928,0.0009,
0,4.4,96,64,2000,0.129,0.4341,0.1296,0.0012,
0,4.4,96,64,2000,0.1478,0.5606,0.1489,0.0013,
0,4.4,96,64,2000,0.1274,0.4252,0.1143,0.0011,
0,4.4,96,64,5000,0.1102,0.3361,0.0868,0.0008,
0,4.4,96,64,5000,0.1205,0.3545,0.0707,0.0007,
0,4.4,96,64,5000,0.1086,0.313,0.0792,0.0008,
0,4.4,96,64,5000,0.1124,0.3391,0.0707,0.0007,
0,4.4,96,64,5000,0.1147,0.341,0.0792,0.0008,
0,4.4,96,64,10000,0.0866,0.2323,0.0367,0.0004,
0,4.4,96,64,500,0.4683,0.7204,0.1193,0.0012,
0,4.4,96,64,500,0.1418,0.5807,0.1329,0.0015,
0,4.4,96,64,500,0.1312,0.5114,0.1568,0.0016,
0,4.4,96,64,500,0.1436,0.4948,0.1293,0.0014,
0,4.4,96,64,500,0.1299,0.3682,0.1281,0.0013,
0,4.4,96,64,12000,0.083,0.2155,0.0162,0.0002,
0,4.4,96,64,12000,0.0889,0.2425,0.0158,0.0002,
0,4.4,96,64,12000,0.0901,0.2464,0.0198,0.0002,
0,4.4,96,64,12000,0.0829,0.2211,0.0166,0.0002,
0,4.4,96,64,12000,0.0858,0.2291,0.0201,0.0003,
0,3.8,96,64,300,0.2085,0.8086,0.1505,0.0015,
0,3.8,96,64,300,0.1879,0.5388,0.1123,0.0011,
0,3.8,96,64,300,0.1627,0.6189,0.087,0.4115,
0,3.8,96,64,300,0.2066,0.7031,0.1396,0.0016,
0,3.8,96,64,300,0.2312,0.7153,0.1681,0.0016,
0,3.8,96,64,300,0.1738,0.5052,0.1383,0.0015,
0,4.2,128,64,12000,0.0826,0.2239,0.0324,0.0211,
0,4.2,128,64,12000,0.0993,0.2914,0.0377,0.0846,
0,4.2,128,64,300,0.1612,0.5034,0.1072,0.0011, batchsize= 256
0,4.2,128,64,300,0.3393,0.5999,0.1225,0.0013,
0,4.2,128,64,300,0.1871,0.5944,0.1406,0.0014,
0,4.2,128,64,300,0.2074,0.6194,0.1913,0.002,
0,4.2,128,64,300,0.2138,0.8073,0.1449,0.0015,
0,4.2,128,64,300,0.1632,0.543,0.1317,0.0013, batchsize= 128
0,4.2,128,64,300,0.2094,0.6718,0.171,0.0066,
0,4.2,128,64,300,0.1682,0.4615,0.1248,0.0013,
0,4.2,128,64,300,0.2199,0.7389,0.1461,0.0015,
0,4.2,96,64,20000,0.1043,0.3037,0.0426,0.0538,
0,4.2,96,64,20000,0.1044,0.3009,0.0421,0.0593,
0,4.2,128,64,20000,0.0793,0.2243,0.0317,0.0534,
0,4.2,128,64,20000,0.0914,0.2403,0.0323,0.0247,
0,4.2,128,64,20000,0.0914,0.2506,0.0336,0.0391,
0,4.2,128,64,20000,0.0855,0.2254,0.0301,0.0116,
0,4.2,128,64,300,0.2116,0.7135,0.1753,0.0017,
0,4.2,128,64,300,0.379,0.7652,0.1606,0.0016,
0,4.2,128,64,300,0.388,0.959,0.112,0.0011,
0,4.2,128,64,300,0.1758,0.6261,0.1585,0.0081,
0,4.2,96,64,300,0.2165,0.7107,0.1686,0.0744,
0,4.2,96,64,300,0.1951,0.5691,0.1217,0.0011,
0,4.2,96,64,300,0.2077,0.8074,0.166,0.0017,
0,4.2,96,64,300,0.2254,0.8838,0.1622,0.0017,
0,4.45,128,64,20000,0.0857,0.3091,0.0388,0.0767, window=20
0,4.45,128,64,20000,0.0835,0.3085,0.0365,0.0724,
0,4.45,128,64,20000,0.089,0.2983,0.0408,0.0293,
0,4.45,128,96,20000,0.0851,0.2699,0.0385,0.0119,
