training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.85165,0.8424,0.8574999999999999,1.018416,0.8177,1.0401,0.7700285714285714,0.702125,0.8402,0.6023642857142857,0.5202249999999999,0.663675
500,0.83262,0.83,0.8365,0.8805600000000001,0.902,1.0021,0.7379733333333333,0.6292,0.8999600000000001,0.5414833333333333,0.50065,0.5897
1000,0.8035,0.79525,0.815,0.83895,0.752025,1.0018,0.5669466666666667,0.42908,0.74868,0.5041599999999999,0.483225,0.5123249999999999
2000,0.8018000000000001,0.7977,0.8059000000000001,0.60215,0.601675,0.6288750000000001,0.5008,0.47350000000000003,0.51688,0.44992,0.4252,0.4954
5000,0.77195,0.770425,0.773475,0.4459578947368421,0.4011,0.501,0.3236666666666666,0.29128,0.35016,0.33674,0.3361,0.341
10000,0.7769666666666666,0.7743,0.78045,0.27688,0.2609,0.3009,0.314775,0.304925,0.32975,0.2323,0.2323,0.2323
12000,0.7689,0.7689,0.7689,0.25745625,0.231625,0.28125,0.227125,0.21297500000000003,0.24109999999999998,0.24869574468085104,0.22935,0.2645
