training_size,Physics_average,Physics_lower_percentile,Physics_upper_percentile,Data_average,Data_lower_percentile,Data_upper_percentile,PINN_average,PINN_lower_percentile,PINN_upper_percentile,PERL_average,PERL_lower_percentile,PERL_upper_percentile
300,0.28525,0.27875000000000005,0.29215,0.307104,0.2045,0.3732,0.27822857142857144,0.255325,0.292425,0.18512755102040812,0.149275,0.1933
500,0.26366,0.261,0.2647,0.272456,0.2149,0.3129,0.23748,0.22372,0.24866,0.15088333333333334,0.134125,0.1541
1000,0.25683333333333336,0.25575000000000003,0.259,0.1897714285714285,0.172225,0.200525,0.2004088888888889,0.19136,0.2072,0.13965,0.1356,0.1392
2000,0.25529999999999997,0.25445,0.25615,0.1827625,0.1761,0.187325,0.18018666666666663,0.17738,0.18384,0.13249999999999998,0.1274,0.1444
5000,0.25555,0.253325,0.257775,0.12872631578947366,0.11995,0.14115,0.15893333333333334,0.15152,0.1688,0.11328,0.1102,0.1147
10000,0.2516333333333334,0.25155,0.25170000000000003,0.10615999999999999,0.1002,0.1114,0.14925,0.13935,0.16935,0.0866,0.0866,0.0866
12000,0.2511,0.2511,0.2511,0.08940625,0.08565,0.094475,0.09055000000000002,0.087275,0.09187500000000001,0.08842127659574468,0.08574999999999999,0.0916
