model,training_size,scenario,a_mse,v_mse,a_mse_first,v_mse_first
PERL,300,r1,0.1967,0.1571,0.6718,0.0062
PERL,300,r1,0.1784,0.167,0.656,0.0055
PERL,300,r1,0.4543,0.144,0.9694,0.0138
PERL,300,r1,0.2212,0.1887,0.7318,0.0074
PERL,300,r1,0.196,0.1274,0.7453,0.0063
PERL,300,r1,0.2141,0.0957,0.8305,0.0037
PERL,300,r1,0.2157,0.2045,0.8991,0.0083
PERL,500,r1,0.2245,0.1121,1.1168,0.0114
PERL,500,r1,0.2251,0.2025,1.017,0.0113
PERL,500,r1,0.2423,0.1368,1.0162,0.0106
PERL,500,r1,0.2552,0.1447,0.7022,0.0037
PERL,500,r1,0.2004,0.141,0.9017,0.0031
PERL,500,r1,0.1929,0.1745,0.9017,0.0109
PERL,500,r1,0.1721,0.1455,0.8015,0.0109
PERL,1000,r1,0.1603,0.0529,0.8071,0.012
PERL,1000,r1,0.1611,0.0232,0.7925,0.0112
PERL,1000,r1,0.1319,0.0249,0.4577,0.0112
PERL,1000,r1,0.1682,0.0562,0.6539,0.0127
PERL,1000,r1,0.1456,0.0373,0.5454,0.0115
PERL,1000,r1,0.1427,0.06,0.4891,0.0124
PERL,1000,r1,0.1419,0.0316,0.4651,0.0116
PERL,1000,r1,0.1422,0.0413,0.4809,0.0085
PERL,1000,r1,0.1537,0.0534,0.5216,0.0085
PERL,1000,r1,0.1685,0.0435,0.6871,0.0089
PERL,1000,r1,0.1439,0.0432,0.5527,0.0085
PERL,1000,r1,0.1333,0.0206,0.3915,0.0082
PERL,1000,r1,0.1368,0.0342,0.4687,0.0086
PERL,1000,r1,0.1362,0.0246,0.4091,0.0012
PERL,1000,r1,0.1579,0.0272,0.6408,0.0017
PERL,1000,r1,0.1707,0.0459,0.5954,0.0019
PERL,2000,r1,0.0762,0.0212,0.4007,0.0033
PERL,2000,r1,0.1774,0.0282,0.4169,0.0033
PERL,2000,r1,0.0904,0.0211,0.4008,0.0053
PERL,2000,r1,0.0729,0.0324,0.3006,0.0044
PERL,2000,r1,0.0946,0.0211,0.3022,0.0031
PERL,5000,r1,0.0544,0.0131,0.4005,0.0042
PERL,5000,r1,0.0762,0.0212,0.4007,0.0033
PERL,5000,r1,0.1774,0.0282,0.4169,0.0033
PERL,5000,r1,0.0904,0.0211,0.4008,0.0053
PERL,5000,r1,0.0729,0.0324,0.3006,0.0044
PERL,5000,r1,0.0946,0.0211,0.3022,0.0031
PERL,5000,r1,0.0996,0.0289,0.2067,0.0037
PERL,5000,r1,0.0997,0.0183,0.2074,0.0028
PERL,10000,r1,0.0751,0.0172,0.1126,0.0033
PERL,10000,r1,0.0717,0.0142,0.1349,0.0012
PERL,10000,r1,0.0858,0.0167,0.1912,0.0024
PERL,10000,r1,0.0706,0.0097,0.191,0.0021
PERL,10000,r1,0.0963,0.018,0.0923,0.0022
PERL,12000,r1,0.0649,0.0056,0.1021,0.0021
PERL,12000,r1,0.0675,0.0143,0.1055,0.0012
PERL,12000,r1,0.0661,0.0066,0.1052,0.0012
PERL,12000,r1,0.0695,0.0094,0.0596,0.0022
PERL,12000,r1,0.0608,0.0099,0.0552,0.002
PERL,12000,r1,0.0674,0.0081,0.0563,0.0017
